date,team1,team2,score1,score2,winner
2024-11-03T18:00Z,TEN,NE,20,17,1
2024-11-03T18:00Z,NYG,WSH,22,27,0
2024-11-03T18:00Z,CAR,NO,23,22,1
2024-11-03T18:00Z,BAL,DEN,41,10,1
2024-11-03T21:05Z,PHI,JAX,28,23,1
2024-11-03T21:05Z,ARI,CHI,29,9,1
2024-11-03T21:25Z,GB,DET,14,24,0
2024-11-03T21:25Z,SEA,LAR,20,26,0
2024-11-04T01:20Z,MIN,IND,21,13,1
2024-11-05T01:15Z,KC,TB,30,24,1
2024-11-08T01:15Z,BAL,CIN,35,34,1
2024-11-10T14:30Z,CAR,NYG,20,17,1
2024-11-10T18:00Z,CHI,NE,3,19,0
2024-11-10T18:00Z,IND,BUF,20,30,0
2024-11-10T18:00Z,KC,DEN,16,14,1
2024-11-10T18:00Z,NO,ATL,20,17,1
2024-11-10T18:00Z,TB,SF,20,23,0
2024-11-10T18:00Z,WSH,PIT,27,28,0
2024-11-10T18:00Z,JAX,MIN,7,12,0
2024-11-10T21:05Z,LAC,TEN,27,17,1
2024-11-10T21:25Z,DAL,PHI,6,34,0
2024-11-10T21:25Z,ARI,NYJ,31,6,1
2024-11-11T01:20Z,HOU,DET,23,26,0
2024-11-12T01:15Z,LAR,MIA,15,23,0
2024-11-15T01:15Z,PHI,WSH,26,18,1
2024-11-17T18:00Z,CHI,GB,19,20,0
2024-11-17T18:00Z,DET,JAX,52,6,1
2024-11-17T18:00Z,TEN,MIN,13,23,0
2024-11-17T18:00Z,NE,LAR,22,28,0
2024-11-17T18:00Z,NO,CLE,35,14,1
2024-11-17T18:00Z,NYJ,IND,27,28,0
2024-11-17T18:00Z,PIT,BAL,18,16,1
2024-11-17T21:05Z,DEN,ATL,38,6,1
2024-11-17T21:05Z,SF,SEA,17,20,0
2024-11-17T21:25Z,BUF,KC,30,21,1
2024-11-18T01:20Z,LAC,CIN,34,27,1
2024-11-19T01:15Z,DAL,HOU,10,34,0
2024-11-22T01:15Z,CLE,PIT,24,19,1
2024-11-24T18:00Z,CHI,MIN,27,30,0
2024-11-24T18:00Z,IND,DET,6,24,0
2024-11-24T18:00Z,MIA,NE,34,15,1
2024-11-24T18:00Z,NYG,TB,7,30,0
2024-11-24T18:00Z,WSH,DAL,26,34,0
2024-11-24T18:00Z,CAR,KC,27,30,0
2024-11-24T18:00Z,HOU,TEN,27,32,0
2024-11-24T21:25Z,GB,SF,38,10,1
2024-11-24T21:25Z,SEA,ARI,16,6,1
2024-11-25T01:20Z,LAR,PHI,20,37,0
2024-11-26T01:15Z,LAC,BAL,23,30,0
2024-11-28T17:30Z,DET,CHI,23,20,1
2024-11-28T21:30Z,DAL,NYG,27,20,1
2024-11-29T01:20Z,GB,MIA,30,17,1
2024-12-01T18:00Z,ATL,LAC,13,17,0
2024-12-01T18:00Z,CIN,PIT,38,44,0
2024-12-01T18:00Z,MIN,ARI,23,22,1
2024-12-01T18:00Z,NE,IND,24,25,0
2024-12-01T18:00Z,NYJ,SEA,21,26,0
2024-12-01T18:00Z,WSH,TEN,42,19,1
2024-12-01T18:00Z,JAX,HOU,20,23,0
2024-12-01T21:05Z,NO,LAR,14,21,0
2024-12-01T21:05Z,CAR,TB,23,26,0
2024-12-01T21:25Z,BAL,PHI,19,24,0
2024-12-02T01:20Z,BUF,SF,35,10,1
2024-12-03T01:15Z,DEN,CLE,41,32,1
2024-12-06T01:15Z,DET,GB,34,31,1
2024-12-08T18:00Z,TEN,JAX,6,10,0
2024-12-08T18:00Z,MIA,NYJ,32,26,1
2024-12-08T18:00Z,MIN,ATL,42,21,1
2024-12-08T18:00Z,NYG,NO,11,14,0
2024-12-08T18:00Z,PHI,CAR,22,16,1
2024-12-08T18:00Z,PIT,CLE,27,14,1
2024-12-08T21:05Z,ARI,SEA,18,30,0
2024-12-08T21:25Z,LAR,BUF,44,42,1
2024-12-08T21:25Z,SF,CHI,38,13,1
2024-12-09T01:20Z,KC,LAC,19,17,1
2024-12-10T01:15Z,DAL,CIN,20,27,0
2024-12-13T01:15Z,SF,LAR,6,12,0
2024-12-15T18:00Z,CLE,KC,7,21,0
2024-12-15T18:00Z,TEN,CIN,27,37,0
2024-12-15T18:00Z,NO,WSH,19,20,0
2024-12-15T18:00Z,NYG,BAL,14,35,0
2024-12-15T18:00Z,CAR,DAL,14,30,0
2024-12-15T18:00Z,JAX,NYJ,25,32,0
2024-12-15T18:00Z,HOU,MIA,20,12,1
2024-12-15T21:25Z,DEN,IND,31,13,1
2024-12-15T21:25Z,DET,BUF,42,48,0
2024-12-15T21:25Z,PHI,PIT,27,13,1
2024-12-15T21:25Z,ARI,NE,30,17,1
2024-12-15T21:25Z,LAC,TB,17,40,0
2024-12-16T01:20Z,SEA,GB,13,30,0
2024-12-17T01:00Z,MIN,CHI,30,12,1
2024-12-20T01:15Z,LAC,DEN,34,27,1
2024-12-21T18:00Z,KC,HOU,27,19,1
2024-12-21T21:30Z,BAL,PIT,34,17,1
2024-12-22T18:00Z,ATL,NYG,34,7,1
2024-12-22T18:00Z,CHI,DET,17,34,0
